SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"10221-1",9339,1,"Black","Figure Parts",73200,"MINI BODY LOWER PART BLACK","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/9339.jpg",928
"10221-1",74011,6,"Black","Functional Elements",73983,"HINGEPLATE  1X2 UN./OV.BLACK","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/74011.jpg",100
"10221-1",241226,8,"Black","Plates",2412,"RADIATOR GRILLE 1X2","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/241226.jpg",805
"10221-1",243126,2,"Black","Plates",2431,"FLAT TILE 1X4","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/243126.jpg",748
"10221-1",244526,26,"Black","Plates",2445,"PLATE 2X12","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/244526.jpg",312
"10221-1",301026,4,"Black","Bricks",3010,"BRICK 1X4","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/301026.jpg",613
"10221-1",302126,10,"Black","Plates",3021,"PLATE 2X3","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/302126.jpg",948
"10221-1",302326,8,"Black","Plates",3023,"PLATE 1X2","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/302326.jpg",1480
"10221-1",303226,2,"Black","Plates",3032,"PLATE 4X6","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/303226.jpg",401
"10221-1",306926,6,"Black","Plates",3069,"FLAT TILE 1X2","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/306926.jpg",732
"10221-1",317626,8,"Black","Plates, Special",3176,"COUPLING PLATE 2X2","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/317626.jpg",190
"10221-1",366626,8,"Black","Plates",3666,"PLATE 1X6","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/366626.jpg",860
"10221-1",370026,8,"Black","Bricks, Special Ø4.85 Hole And Connecting Bush",3700,"TECHNIC BRICK 1X2, Ø4.9","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/370026.jpg",459
"10221-1",370126,8,"Black","Bricks, Special Ø4.85 Hole And Connecting Bush",3701,"TECHNIC BRICK 1X4, Ø4,9","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/370126.jpg",300
"10221-1",371026,8,"Black","Plates",3710,"PLATE 1X4","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/371026.jpg",1203
"10221-1",383226,14,"Black","Plates",3832,"PLATE 2X10","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/383226.jpg",378
"10221-1",389426,12,"Black","Bricks, Special Ø4.85 Hole And Connecting Bush",3894,"BRICK 1X6, Ø4,9","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/389426.jpg",210
"10221-1",393726,2,"Black","Functional Elements",3937,"ROCKER BEARING 1X2","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/393726.jpg",333
"10221-1",416226,2,"Black","Plates",4162,"FLAT TILE 1X8","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/416226.jpg",362
"10221-1",428726,24,"Black","Bricks, With Slope",4287,"ROOF TILE 1X3/25° INV.","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/428726.jpg",136
"10221-1",663626,2,"Black","Plates",6636,"FLAT TILE 1X6","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/663626.jpg",455
"10221-1",3200126,51,"Black","Plates, Special",32001,"1PLATE 2X6 W. HOLES","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/3200126.jpg",148
"10221-1",4107558,8,"Black","Bricks, Special Ø4.85 Hole And Connecting Bush",32018,"TECHNIC BRICK 1X14, Ø4,9","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4107558.jpg",144
"10221-1",4124171,1,"Black","Textiles",22231,"BLACK CAPE","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4124171.jpg",82
"10221-1",4124172,1,"Black","Figure, Head Clothing",30368,"DARTH VADER HELMET","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4124172.jpg",21
"10221-1",4160393,8,"Black","Bricks With Bows And Arches",42022,"BRICK 1X6 W/BOW","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4160393.jpg",70
"10221-1",4181144,1,"Black","Bricks",44237,"BRICK 2X6","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4181144.jpg",226
"10221-1",4251161,8,"Black","Bricks With Bows And Arches",50950,"Brick w/bow 1/3","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4251161.jpg",203
"10221-1",4253815,37,"Black","Bricks, Special",52107,"BRICK 1X2 W. FOUR KNOBS","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4253815.jpg",173
"10221-1",4286009,2,"Black","Plates, Special",4510,"PLATE 1X8 WITH RAIL","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4286009.jpg",66
"10221-1",4498712,3,"Black","Figure, Weapons",57899,"Blaster, Rifle","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4498712.jpg",84
"10221-1",4498713,1,"Black","Figure, Weapons",58247,"Blaster Medium","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4498713.jpg",189
"10221-1",4548726,1,"Black","Figure Parts",76382,"MINI UPPER PART 'NO.1469'","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4548726.jpg",6
"10221-1",4556158,4,"Black","Plates, Special",60470,"PLATE 1X2 W/HOLDER, VERTICAL","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4556158.jpg",270
"10221-1",4584332,4,"Black","Bricks With Slope, Special",30382,"ROOF TILE 2X16X1, 11°","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4584332.jpg",5
"10221-1",4598528,2,"Black","Plates, Special",92280,"PLATE 1X2 W. VERTICAL GRIP","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4598528.jpg",269
"10221-1",4603646,1,"Black","Plates",90498,"FLAT TILE 8X16","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4603646.jpg",31
"10221-1",6037664,8,"Black","Bricks With Bows And Arches",13731,"BRICK WITH BOW 1x10","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/6037664.jpg",48
